Name,Barcode,Target 1 Ct,ActualIU,MeasuredIU,QS Ct,QS Result,Valid
95500,$03LTD7PG,21.92,95500,107000,32.43,Valid,Yes
95500,$03LTDPMR,22.08,95500,98200,32.46,Valid,Yes
95500,$03LTC4ED,22.09,95500,85100,32.26,Valid,Yes
9550,$03LTE8RR,25.28,9550,15100,32.93,Valid,Yes
9550,$03LTD798,25.45,9550,8390,32.24,Valid,Yes
9550,$03LTDTXG,25.4,9550,9140,32.32,Valid,Yes
995,$03LTD8PH,28.73,995,940,32.33,Valid,Yes
995,$03LTE91K,28.7,995,1010,32.41,Valid,Yes
995,$03LTC2R9,28.85,995,1030,32.58,Valid,Yes
99.5,$03LTDLR0,32.09,99.5,98,32.4,Valid,Yes
99.5,$03LTE03F,31.86,99.5,115,32.4,Valid,Yes
99.5,$03LTEWN3,31.88,99.5,147,32.77,Valid,Yes
VLP,$03LTD899,28.81,VLP,932,32.4,Valid,Yes
VLP,$03LTDZ7R,28.8,VLP,835,32.23,Valid,Yes
VLP,$03LTCW9R,29.13,VLP,908,32.68,Valid,Yes
VLP,$03LTE6FT,28.96,VLP,756,32.25,Valid,Yes
Blank,$03LTE951,-,Blank,Target Not Detected,32.41,Valid,Yes